电影名称,上映日期, ,评分,电影网址
肖申克的救赎 The Shawshank Redemption,1994-09-10(多伦多电影节),1994-10-14(美国),9.7,https://movie.douban.com/subject/1292052/
霸王别姬,1993-01-01(中国香港),1993-07-26(中国大陆),9.6,https://movie.douban.com/subject/1291546/
阿甘正传 Forrest Gump,1994-06-23(洛杉矶首映),1994-07-06(美国),9.5,https://movie.douban.com/subject/1292720/
这个杀手不太冷 Léon,1994-09-14(法国), ,9.4,https://movie.douban.com/subject/1295644/
泰坦尼克号 Titanic,1998-04-03(中国大陆),"1997-11-01(东京电影节),1997-12-19(美国)",9.4,https://movie.douban.com/subject/1292722/
美丽人生 La vita è bella,2020-01-03(中国大陆),1997-12-20(意大利),9.5,https://movie.douban.com/subject/1292063/
千与千寻 千と千尋の神隠し,2019-06-21(中国大陆),2001-07-20(日本),9.4,https://movie.douban.com/subject/1291561/
辛德勒的名单 Schindler's List,1993-11-30(华盛顿首映),1994-02-04(美国),9.5,https://movie.douban.com/subject/1295124/
盗梦空间 Inception,2010-09-01(中国大陆),"2020-08-28(中国大陆重映),2010-07-16(美国)",9.3,https://movie.douban.com/subject/3541415/
忠犬八公的故事 Hachi: A Dog's Tale,2009-06-13(西雅图电影节),2010-03-12(英国),9.4,https://movie.douban.com/subject/3011091/
海上钢琴师 La leggenda del pianista sull'oceano,2019-11-15(中国大陆),1998-10-28(意大利),9.3,https://movie.douban.com/subject/1292001/
楚门的世界 The Truman Show,1998-06-05(美国), ,9.3,https://movie.douban.com/subject/1292064/
星际穿越 Interstellar,2014-11-12(中国大陆),"2020-08-02(中国大陆重映),2014-11-07(美国)",9.3,https://movie.douban.com/subject/1889243/
三傻大闹宝莱坞 3 Idiots,2011-12-08(中国大陆),2009-12-25(印度),9.2,https://movie.douban.com/subject/3793023/
机器人总动员 WALL·E,2008-06-27(美国), ,9.3,https://movie.douban.com/subject/2131459/
放牛班的春天 Les choristes,2004-10-16(中国大陆),2004-03-17(法国),9.3,https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995-02-04(中国香港),"2014-10-24(中国大陆),2017-04-13(中国大陆重映)",9.2,https://movie.douban.com/subject/1292213/
熔炉 도가니,2011-09-22(韩国), ,9.3,https://movie.douban.com/subject/5912992/
疯狂动物城 Zootopia,2016-03-04(中国大陆/美国),2020-07-24(中国大陆重映),9.2,https://movie.douban.com/subject/25662329/
无间道 無間道,2002-12-12(中国香港),2003-09-05(中国大陆),9.2,https://movie.douban.com/subject/1307914/
龙猫 となりのトトロ,2018-12-14(中国大陆),1988-04-16(日本),9.2,https://movie.douban.com/subject/1291560/
教父 The Godfather,1972-03-15(纽约首映),1972-03-24(美国),9.3,https://movie.douban.com/subject/1291841/
当幸福来敲门 The Pursuit of Happyness,2008-01-17(中国大陆),"2020-07-20(中国大陆重映),2006-12-15(美国)",9.1,https://movie.douban.com/subject/1849031/
怦然心动 Flipped,2010-07-26(好莱坞首映),2010-09-10(美国),9.1,https://movie.douban.com/subject/3319755/
触不可及 Intouchables,2011-11-02(法国), ,9.2,https://movie.douban.com/subject/6786002/
控方证人 Witness for the Prosecution,1957-12-17(美国), ,9.6,https://movie.douban.com/subject/1296141/
蝙蝠侠：黑暗骑士 The Dark Knight,2008-07-14(纽约首映),2008-07-18(美国),9.2,https://movie.douban.com/subject/1851857/
活着,1994-06-30(中国香港),1994-05-17(戛纳电影节),9.2,https://movie.douban.com/subject/1292365/
